id,question,answer,uid_id
16,서비스가 시작되기 전 어떤 절차로 진행하나요?,"예약은 전화로 받고있습니다.
이사전날 오후 8시이후에 확인전화드립니다.",4
17,어떤 서비스를 전문적으로 제공하나요?,"주로 소형이사합니다.
형태는 일반이사, 반포장이사, 포장이사를 전문으로 합니다",4
18,서비스의 견적은 어떤 방식으로 산정 되나요?,"※ 견적은 현금가로 넣고 있어요.
카드 결재나 현금영수증은 부가세가 별도입니다

이사 형태, 인부가 추가로 필요한경우, 엘리베이터 유무, 엘리베이터 없을경우 층수,  이사 이동거리, 경유를 해야하는 경우, 대기시간이 발생하는경우, 이사 자재를 대여하는 경우 등등 다양하게 산정됩니다.",4
19,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,"주로 일반이사와 반포장이사를 많이 이용하세요.
일반이사는 2~3시간 평균 소요됩니다.
반포장이사는 4~5시간 평균 소요됩니다.",4
20,A/S 또는 환불 규정은 어떻게 되나요?,"최대한 안전하게 이동하려고 노력하고 있어요.
하지만 불가피하게 파손이 되었을경우,
현장에서 파손 사실을 알려드리고 손해가 없도록 변상을 해드리거나 합의를 보고 있어요.",4
21,서비스가 시작되기 전 어떤 절차로 진행하나요?,"1. 대화창에서 요청사항 문의 or 연 락 처 제공시 1:1 상담 후 실견적 드립니다.
2. 결제 확인되면 시안작업 진행됩니다.
3. 수정 요청시 친절히 수정도 해드리고
4. 인쇄물은 컨펌 후에 진행합니다.",5
22,어떤 서비스를 전문적으로 제공하나요?,CI.BI 로고 / 명함 / 카탈로그 / 브로셔 / 리플릿 / 전단 / 포스터 / 봉투 / 스티커 / 배너 / 현수막 / 상패 / 판촉물 등 광고인쇄홍보에 관한 모든 것,5
23,서비스의 견적은 어떤 방식으로 산정 되나요?,"디자인전문회사 since 2004의 경험과 노하우!
소비자가 뽑은 한국소비자만족 1위의 서비스!
20여명의 디자이너가 한 번을 만들더라도 제대로 만드는!
고객만족 + 높은 퀄리티를 지향하는 적정선의 견적을 제시해 드립니다.",5
24,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,"검색을 통해
포트폴리오 및 업력 등을
확인하실 수 있습니다.",5
25,A/S 또는 환불 규정은 어떻게 되나요?,"01. 고수와 의뢰인 간의 상호 협의 후 청약철회가 가능합니다.
02. 고수의 귀책사유로 디자인작업을 시작하지 않았거나 혹은 이에 준하는 보편적인 관점에서 심각하게 잘못 이행한 경우 결제 금액 전체 환불이 가능합니다.
03. 고수가 작업 기간 동안 지정된 서비스를 제공하지 못할 것이 확실한 경우 지급받은 서비스 비용을 일할 계산하여 작업물 개수와 작업 기간 일수만큼 공제하고 잔여 금액을 환불합니다.
04. 서비스 받은 항목을 공제하여 환불하며, 공제 비용은 정가 처리됩니다.
가. 소비자 피해 보상 규정에 의거하여 작업물 원본의 멸실 및 작업 기간 미이행 및 이에 상응하는 수고 책임으로 인한 피해 발생 시, 전액 환불
나. 시안 작업 진행된 상품 차감 환불",5
26,서비스가 시작되기 전 어떤 절차로 진행하나요?,치수(가로x세로)와 원하시는 종류를 알려 주시면 일차로 대략적인 가격을 드립니다.,6
27,어떤 서비스를 전문적으로 제공하나요?,"각종 커튼과 블라인드 맞춤 제작, 수선, 수리 및 설치 시공을 해드립니다",6
28,서비스의 견적은 어떤 방식으로 산정 되나요?,현장 방문 실측 후 견본 및 시공 사례를 보시고 결정 하시면 견적을 내어 드립니다,6
29,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,"공공기관, 학교, 회사 사옥, 교회, 신규 아파트, 리모델링 아파트, 전원주택, 상업시설 등 다양한 곳에 제작 설치하였음",6
30,A/S 또는 환불 규정은 어떻게 되나요?,기본 무상 AS는 3년(소비자 과실 제외 별도 협의),6
31,서비스가 시작되기 전 어떤 절차로 진행하나요?,"고객님께서 고용하기를 눌러 주시면
작업 가능한 일정과 시간을
고객님께 보내드립니다
그 후. 고객님께서는 서비스 받으실 
일자와 시간 방문드릴 상세주소, 전화번호를
 남겨주시면 약속시간에 방문드려 서비스를 제공
하고 있습니다
(숨고에서도 고객님의 정보보호를 위해
 고수들에게는 고객님의 대략적인 주소와
 안심전호만을 제공하기 때문입니다)",7
32,어떤 서비스를 전문적으로 제공하나요?,,7
33,서비스의 견적은 어떤 방식으로 산정 되나요?,"세탁기 크기와 키로수 상관 없이
일반 세탁기는 6만원
드럼 세탁기는 9만원
아기사랑세탁기는 3만원
의 비용을 받고 있습니다",7
34,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,"작업시간은(주변청소 포함)
일반 세탁기 : 1시간 30분
드럼 세탁기 : 2시간 30분
아기사랑세탁기 : 1시간 00분
입니다",7
35,A/S 또는 환불 규정은 어떻게 되나요?,"3개월의 A/S기간을 약속드리며
특정 사유가 있는 경우 1년 및 약속한 기간까지
A/S 를 진행하고 있습니다",7
36,서비스가 시작되기 전 어떤 절차로 진행하나요?,고객님이 제가 보내드린 견적서를 보시고 마음에 드시면 (매장방문/무료픽업 및 무료배달/무료출장서비스)로 진행이 되며 미리 고지해드린 금액으로 수리를 진행해드립니다!,8
37,어떤 서비스를 전문적으로 제공하나요?,"아이폰 모든 불량증상 수리(액정 / 충전불량 / 메인보드불량 / 후면카메라유리파손 등)
아이패드 액정교체 / 배터리교체 / 메인보드 수리 등
맥북 액정교체 / 배터리교체 / 메인보드 수리 를 전문적으로 제공해드리고 아이폰의 경우 모든 증상에 한해서 액정강화필름 무료부착 서비스를 제공합니다^^",8
38,서비스의 견적은 어떤 방식으로 산정 되나요?,서비스 견적은 고객님들께서 적어주신 내용을 토대로 진행이되며 매장 방문 또는 픽업시 다른문제로 인해 견적비용이 달라질 수도 있음을 미리 공지시켜드리고 있습니다~,8
39,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,아이폰의 경우 액정교체/배터리교체/메인보드 수리 문의가 제일 많이 들어오는데 액정교체/배터리교체의 경우 상황에 따라 30분내에 빠른 수리가 가능하시고 메인보드의 경우는 증상 진단 및 수리로 몇일의 시간이 소요될수 있음을 알려드립니다~,8
40,A/S 또는 환불 규정은 어떻게 되나요?,저희는 액정교체시 고객과실(액정수리후 파손)만 아니시면 1달의 워런티 기간(교환)이 있고 배터리도 배터리 불량일시 1달의 워런티 기간(교환)이있습니다 / 환불은 2일 이내에만 가능하신점 양해부탁드립니다!,8
41,서비스가 시작되기 전 어떤 절차로 진행하나요?,전화로 상담해드리고 현장에 방문하여  서식지와 유입로 찿아서 제대로된 약제로 해충박멸해드리고  As까지 확실하게 해드립니다,9
42,어떤 서비스를 전문적으로 제공하나요?,"바퀴벌레퇴치및 각종 해충   먼지다듬이 빈대 곱등이  쥐 그리마  지네 등등 백프로 퇴치시켜드립니다
해충  방역업체에서  작업해드리는  믿을수 있는 특허제품으로 하수구 냄새차단  싱크대 배수구 교체 
변기 냄새 차단,우수관 트랩설치 해드립니다  악취냄새 제거제대로 해드립니다
환풍기   주방후드 교체해드립니다",9
43,서비스의 견적은 어떤 방식으로 산정 되나요?,원룸.투룸   10평.20평.30평.구분하고 해충에따라  변동있습니다,9
44,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,바퀴벌레퇴치    물리적방제와 화학적방제 같이 병행하여 완벽하게 박멸하는데 시간은 약 한시간정도입니다,9
45,A/S 또는 환불 규정은 어떻게 되나요?,AS는 책임지고  바퀴벌레 6개월  해드립니다  다신생기지않게 환경개선방법과 생활방법 안내해드립니다,9
46,서비스가 시작되기 전 어떤 절차로 진행하나요?,,10
47,어떤 서비스를 전문적으로 제공하나요?,,10
48,서비스의 견적은 어떤 방식으로 산정 되나요?,,10
49,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,,10
50,A/S 또는 환불 규정은 어떻게 되나요?,,10
51,서비스가 시작되기 전 어떤 절차로 진행하나요?,"고객님에 요청서를 100% 믿고 견적가격을 결정하며 방문 견적은 하지 않습니다
고객님이 보내주시는 사진들이 많은 도움이 되고 있습니다",11
52,어떤 서비스를 전문적으로 제공하나요?,"일인전용 원룸 이사 만을 전문 으로 하고 있습니다
일반이사 반포장이사 2종류 에 이사만 을 전문적으로 하고있습니다",11
53,서비스의 견적은 어떤 방식으로 산정 되나요?,이사 형태에 따라 층수와거리 엘리베이터 유무 품목확인 등과 이사방식을 고려 하여 가장 착한 가격 으로 선정 하고 있습니다,11
54,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,"원룸 소형 이사 입니다
소요시간은 거리나 짐에 양에 따라 다르지만 일반 이사는 길면 2시간 반포장 이사는 3~4시간 정도 소요 된다고 생각합니다",11
55,A/S 또는 환불 규정은 어떻게 되나요?,A/s 같은경우에는 무조건 고객님과 상의후 처리해 드리고 있습니다  그리고 저는 계약금을 받지않고 모든 일이 끝난후에 받기 때문에 환불 해 드릴게 없습니다,11
56,서비스가 시작되기 전 어떤 절차로 진행하나요?,"고객님께 견적서보내드린후 
상세사항확인하고 
고객님과 연락후 계약 진행됩니다~",12
57,어떤 서비스를 전문적으로 제공하나요?,"입주청소(신축)
원룸&오피스텔청소(신축.구축)
이사청소(이사전살던곳)
줄눈시공(신축.구축.입주)
바닥코팅(신축.구축)",12
58,서비스의 견적은 어떤 방식으로 산정 되나요?,공급면적 기준이며 확장형과비확장형은 금액이 상이할수있습니다~,12
59,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,"34평 입주청소기준으로4~5시간소요됩니다~
줄눈시공은 기본 화장실2개소 바닥.&실리콘.현관바닥 작업시 3시간가량 소요됩니다~",12
60,A/S 또는 환불 규정은 어떻게 되나요?,"줄눈시공은 as 1년
청소작업은 검수후 다음날연락주시면 가능합니다
계약금은 환불이 되지않습니다
계약일 1개월전은 환불 가능합니다^^",12
61,서비스가 시작되기 전 어떤 절차로 진행하나요?,(비공개 정보)(24시 문의 가능합니다) 문자나 연락후 고객님과 시간 조정 가능합니다^^ 예약 완료 후 예약완료 문자를 보내드리며 이사 날짜 전날 다시한번 연락 드리고 있습니다^^,13
62,어떤 서비스를 전문적으로 제공하나요?,"저는 1인가구 소형이사를 전문으로 하고있습니다^^ 포장/반포장/일반이사/화물 운송/사무실이사 등을 진행하고 있습니다
다른업체와는 다르게 고객님의 물건을 깨짐과 오염방지를 위해 이사용품에 많은 투자를 하였으니 믿고 맡기셔도 됩니다^^
그릇,유리컵등은 깨짐 방지를 위하여 에어캡으로 이중포장해드리며 냉장고와 매트리스는 사이즈 마다 전용커버로 포장해서 안전하게운송해서 자리잡아드립니다~~",13
63,서비스의 견적은 어떤 방식으로 산정 되나요?,"1톤 트럭 기준 인부 1명입니다.
엘베유무, 큰가전, 가구, 평수, 잔짐량, 폐가구처리, 거리 및 작업여건 고려하여 약간씩 달라질 수 있음을 알려드립니다:)
고객님과 협의 후 가격이 산정됩니다^^",13
64,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,"일반-1~2시간
반포장-3~4시간
포장-4~5시간
평균적으로 이렇게 소요됩니다.
침대분리조립, 에어컨탈착, 벽걸이tv탈착, 정수기탈착, 커튼탈착, 헹거탈착 가능",13
65,A/S 또는 환불 규정은 어떻게 되나요?,"최대한 안전하게 진행하려 노력하고있습니다^^ 
하지만 불가피하게 파손 되었을 경우 현장에서 즉시 알려드리며 도착 시에도 잘 옮겨졌는지 고객님께 확인 시켜드리고 있습니다^^
손해를 입었을 경우 손님과 합의를 보고있습니다.
더 궁금한점있으시면~~
(비공개 정보) 문지주세요",13
66,서비스가 시작되기 전 어떤 절차로 진행하나요?,"잡다한 쓰레기처리나 중요한 물건(계약서, 귀중품) 미리 챙겨놓게해요~~",14
67,어떤 서비스를 전문적으로 제공하나요?,편안한 이사를 위해 최대한 고객과 많이 소통하면서 진행하고있습니다~~,14
68,서비스의 견적은 어떤 방식으로 산정 되나요?,"물건양> 이사환경(엘베유무,사다리차사용)  >  거리순으로 산정됩니다~~",14
69,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,,14
70,A/S 또는 환불 규정은 어떻게 되나요?,,14
71,서비스가 시작되기 전 어떤 절차로 진행하나요?,"전화통화 및 카카오톡으로 정보확인후
시작합니다. 주기적으로 컨택하여 수정작성합니다.",15
72,어떤 서비스를 전문적으로 제공하나요?,"자소서 작성, 면접준비, 취업컨설팅, 대학입시컨설팅
합격율이 높습니다.",15
73,서비스의 견적은 어떤 방식으로 산정 되나요?,"마감기한에 따라 기간이 촉박할수록 가격이올라갑니다.
양해부탁드립니다.",15
74,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,"자소서작성이며 빠르면 하루이내에도 가능합니다.
급하셔도 시간에 맞춰드립니다.",15
75,A/S 또는 환불 규정은 어떻게 되나요?,"수정은 가능하나 환불은 작성이 들어가면 불가합니다.
미리확인하시기바랍니다.",15
76,서비스가 시작되기 전 어떤 절차로 진행하나요?,"먼저 전화드린 뒤 방문하여 상담 해 드립니다.
토탈인테리어의 경우 각 전문가가 연락 및 상담드리며 제가 총괄하여 진행합니다.",16
77,어떤 서비스를 전문적으로 제공하나요?,"저희는 씽크대를 포함하여 욕실, 필름, 강마루, 샷시, 도배, 목공, 철거까지 제공하는 종합인테리어입니다.",16
78,서비스의 견적은 어떤 방식으로 산정 되나요?,"방문견적을 우선으로 하며 모든 상담은 무료입니다.
사진으로도 견적을 내드릴 수 있으며 전화 견적도 내어드립니다.",16
79,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,"씽크대, 욕실, 강마루, 장판, 샷시, 도배, 철거 등 다양한 서비스를 제공해 드렸습니다. 토탈인테리어는 평균 10일정도 소요되며 2주 정도면 안정적으로 완료됩니다. (기간연장시 미리 안내드립니다.)",16
80,A/S 또는 환불 규정은 어떻게 되나요?,"A/S는 1년간 무료입니다. 불편하시면 언제든 연락주세요. 단, 고객과실에 의한 손상 및 변형시 비용이 청구될 수 있으니 참고바랍니다.",16
81,서비스가 시작되기 전 어떤 절차로 진행하나요?,,17
82,어떤 서비스를 전문적으로 제공하나요?,,17
83,서비스의 견적은 어떤 방식으로 산정 되나요?,,17
84,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,,17
85,A/S 또는 환불 규정은 어떻게 되나요?,,17
86,서비스가 시작되기 전 어떤 절차로 진행하나요?,"계약금5만원입니다 잔금은 고객님점검후에
진행됩니다 마음에들지않으시면  현장에서바로바로
시정조치합니다 깔끔한청소로 보답하겠습니다",18
87,어떤 서비스를 전문적으로 제공하나요?,"전문기계로타업체보다 많은장비로청소진행합니다
고압스팀기.고압세척기.투해드청소기 국산 
세집증후군기계 .세스코소독장비.그밖에  장비등입니다",18
88,서비스의 견적은 어떤 방식으로 산정 되나요?,"분양평수로진행합니다실평수는 현장에소추가되요
실평수는  바닥면적  방화장실거실입니다
분양평수는  4면청소와 배란다 다용도실 써비스공간도청소합니다",18
89,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,4시간으로  진행합니다  현장에서오염도에따라시간추가될수있어요,18
90,A/S 또는 환불 규정은 어떻게 되나요?,"As는 3일 입니다  환불은 고객님만절충합니다
As는 현장검수가  안될경우 또한 검수후부탁드림니다  미쳐마음에들지  않았을 경우에말합니다",18
91,서비스가 시작되기 전 어떤 절차로 진행하나요?,"고객님 설치하실 문 또는 출입통제, 카메라 설치위치등  사진찍어주시면 보다 정확한 견적나옵니다",19
92,어떤 서비스를 전문적으로 제공하나요?,"기본 설치가능한 일, 설치 불가한 문에 도어락  또는 잠금장치 설치를 포함한 일",19
93,서비스의 견적은 어떤 방식으로 산정 되나요?,"고객님께 질문답변후 사진받고  현장여건등 여러가지 설명 들은 후 말씀 드리고 진행하지만, 현장에 설치에대한 변수가 생기거나 추가 제품을 써야 할 경우 추가요금 발생 할 수 있습니다",19
94,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,"도어락 기본설치10~20분  또는  , 설치 불가한곳에 설치는 1시간~2시간, cctv는현장 여건에따라 시간이 다소 소요됩니다",19
95,A/S 또는 환불 규정은 어떻게 되나요?,"도어락, 출입통제, cctv  고의적 파손 또는  숙지 미숙 외에 제품 결함이면 무상 1년 AS해드립니다",19
96,서비스가 시작되기 전 어떤 절차로 진행하나요?,,20
97,어떤 서비스를 전문적으로 제공하나요?,"제가 제공하는 써비스는 집먼지진드기 제거를위한 건식작업과 각종 오염으로인한 얼룩제거와 냄새제거를위한 습식작업을 전문으로 하고 있으며 건식과 습식장비는 매트리스전용 전문장비입니다

침대청소는 전문업체인지 건식과 습식 각각 별도의 전문장비로 작업하는지 꼭 알아보신후 선택하셔야 질좋은 써비스를 받으실수 있으니 참고해주세요 
*숨고를 통해 견적을 보내드린 고객님댁은 제가직접 방문드리고 있습니다 *
(카페트나 쇼파등 페브릭소재는 건ㆍ습식 모두 가능합니다)",20
98,서비스의 견적은 어떤 방식으로 산정 되나요?,,20
99,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,,20
100,A/S 또는 환불 규정은 어떻게 되나요?,,20
